country	population
China	1394015977
India	1326093247
United States	332639102
Indonesia	267026366
Pakistan	233500636
Nigeria	214028302
Brazil	211715973
Bangladesh	162650853
Russia	141722205
Mexico	128649565
Japan	125507472
Philippines	109180815
Ethiopia	108113150
Egypt	104124440
Democratic Republic of the Congo	101780263
Vietnam	98721275
Iran	84923314
Turkey	82017514
Germany	80159662
Thailand	68977400
France	67848156
United Kingdom	65761117
Italy	62402659
Tanzania	58552845
Burma	56590071
South Africa	56463617
Kenya	53527936
South Korea	51835110
Spain	50015792
Colombia	49084841
Sudan	45561556
Argentina	45479118
Ukraine	43922939
Uganda	43252966
Algeria	42972878
Iraq	38872655
Poland	38282325
Canada	37694085
Afghanistan	36643815
Morocco	35561654
Saudi Arabia	34173498
Malaysia	32652083
Angola	32522339
Peru	31914989
Uzbekistan	30565411
Nepal	30327877
Mozambique	30098197
Yemen	29884405
Ghana	29340248
Venezuela	28644603
Cameroon	27744989
Cote d'Ivoire	27481086
Madagascar	26955737
North Korea	25643466
Australia	25466459
Taiwan	23603049
Sri Lanka	22889201
Niger	22772361
Romania	21302893
Malawi	21196629
Burkina Faso	20835401
Mali	19553397
Syria	19398448
Kazakhstan	19091949
Chile	18186770
Zambia	17426623
Netherlands	17280397
Guatemala	17153288
Cambodia	16926984
Ecuador	16904867
Chad	16877357
Senegal	15736368
Zimbabwe	14546314
Benin	12864634
Rwanda	12712431
Guinea	12527440
Burundi	11865821
Somalia	11757124
Tunisia	11721177
Belgium	11720716
Bolivia	11639909
Haiti	11067777
Cuba	11059062
Jordan	10820644
Czechia	10702498
Greece	10607051
South Sudan	10561244
Dominican Republic	10499707
Portugal	10302674
Azerbaijan	10205810
Sweden	10202491
United Arab Emirates	9992083
Hungary	9771827
Belarus	9477918
Honduras	9235340
Tajikistan	8873669
Austria	8859449
Israel	8675475
Togo	8608444
Switzerland	8403994
Laos	7447396
Papua New Guinea	7259456
Hong Kong	7249907
Paraguay	7191685
Serbia	7012165
Bulgaria	6966899
Libya	6890535
Sierra Leone	6624933
El Salvador	6481102
Singapore	6209660
Nicaragua	6203441
Eritrea	6081196
Central African Republic	5990855
Kyrgyzstan	5964897
Denmark	5869410
Finland	5571665
Turkmenistan	5528627
Lebanon	5469612
Norway	5467439
Slovakia	5440602
Republic of the Congo	5293070
Ireland	5176569
Costa Rica	5097988
Liberia	5073296
New Zealand	4925477
Oman	4664844
Croatia	4227746
Mauritania	4005475
Georgia	3997000
Panama	3894082
Bosnia and Herzegovina	3835586
Uruguay	3387605
Moldova	3364496
Puerto Rico	3189068
Mongolia	3168026
Albania	3074579
Armenia	3021324
Kuwait	2993706
West Bank	2900034
Jamaica	2808570
Lithuania	2731464
Namibia	2630073
Qatar	2444174
Botswana	2317233
Gabon	2230908
The Gambia	2173999
Macedonia	2125971
Slovenia	2102678
Lesotho	1969334
Kosovo	1932774
Guinea-Bissau	1927104
Gaza Strip	1918221
Latvia	1881232
Bahrain	1505003
Timor-Leste	1383723
Mauritius	1379365
Cyprus	1266676
Estonia	1228624
Trinidad and Tobago	1208789
Eswatini	1104479
Fiji	935974
Djibouti	921804
Comoros	846281
Equatorial Guinea	836178
Bhutan	782318
Guyana	750204
Solomon Islands	685097
Western Sahara	652271
Luxembourg	628381
Macau	614458
Montenegro	609859
Suriname	609569
Cabo Verde	583255
Brunei	464478
Malta	457267
Belize	399598
Maldives	391904
Iceland	350734
The Bahamas	337721
Vanuatu	298333
French Polynesia	295121
Barbados	294560
New Caledonia	290009
Sao Tome and Principe	211122
Samoa	203774
Guam	168485
Saint Lucia	166487
Curacao	151345
Aruba	119428
Grenada	113094
Kiribati	111796
Virgin Islands	106235
Tonga	106095
Federated States of Micronesia	102436
Saint Vincent and the Grenadines	101390
Jersey	101073
Antigua and Barbuda	98179
Seychelles	95981
Isle of Man	90499
Marshall Islands	77917
Andorra	77000
Dominica	74243
Bermuda	71750
Guernsey	67052
Cayman Islands	61944
Greenland	57616
Turks and Caicos Islands	55926
Saint Kitts and Nevis	53821
Faroe Islands	51628
Northern Mariana Islands	51433
American Samoa	49437
Sint Maarten	43847
Liechtenstein	39137
Monaco	39000
British Virgin Islands	37381
San Marino	34232
Saint Martin	32556
Gibraltar	29581
Palau	21685
Anguilla	18090
Wallis and Futuna	15854
Tuvalu	11342
Nauru	11000
Cook Islands	8574
Saint Helena, Ascension, and Tristan da Cunha	7862
Saint Barthelemy	7122
Montserrat	5373
Saint Pierre and Miquelon	5347
Falkland Islands (Islas Malvinas)	3198
Svalbard	2926
Christmas Island	2205
Niue	2000
Norfolk Island	1748
Tokelau	1647
Paracel Islands	1440
Holy See (Vatican City)	1000
Cocos (Keeling) Islands	596
Pitcairn Islands	50
